no;lat;lon;name;ele
548;61.04411;10.43096;548;0
549;61.04397;10.43111;549;0
550;61.04356;10.43147;550;0
551;61.04356;10.43146;551;0
552;61.04327;10.43173;552;0
553;61.04307;10.4319;553;0
554;61.04299;10.43198;554;0
555;61.04279;10.43225;555;0
556;61.04259;10.43261;556;0
557;61.04252;10.43278;557;0
558;61.04252;10.43278;558;0
559;61.04241;10.43313;559;0
560;61.04229;10.43363;560;0
561;61.04213;10.43433;561;0
562;61.04193;10.43507;562;0
563;61.04176;10.43549;563;0
564;61.04176;10.43549;564;0
565;61.04157;10.43584;565;0
566;61.04125;10.43627;566;0
567;61.04108;10.43648;567;0
568;61.04088;10.43669;568;0
569;61.04064;10.4369;569;0
570;61.04064;10.43689;570;0
571;61.04016;10.43729;571;0
572;61.04004;10.43742;572;0
573;61.0397;10.43784;573;0
574;61.03947;10.43816;574;0
575;61.03919;10.43854;575;0
576;61.03895;10.43874;576;0
577;61.03895;10.43874;577;0
578;61.03871;10.43894;578;0
579;61.03836;10.43918;579;0
580;61.03815;10.4393;580;0
581;61.03799;10.43937;581;0
582;61.03764;10.43955;582;0
583;61.03747;10.43962;583;0
584;61.03723;10.43975;584;0
585;61.03706;10.43983;585;0
586;61.03684;10.43996;586;0
587;61.03656;10.44008;587;0
588;61.03656;10.44008;588;0
589;61.03641;10.44011;589;0
590;61.03632;10.44011;590;0
591;61.03602;10.4401;591;0
592;61.03575;10.44019;592;0
593;61.03543;10.44033;593;0
594;61.03497;10.44056;594;0
595;61.03451;10.44077;595;0
596;61.03446;10.44079;596;0
597;61.03446;10.44079;597;0
598;61.034;10.44105;598;0
599;61.03355;10.44125;599;0
600;61.03305;10.44148;600;0
601;61.03238;10.44175;601;0
602;61.03238;10.44175;602;0
603;61.03212;10.44185;603;0
604;61.03174;10.44202;604;0
605;61.03152;10.44214;605;0
606;61.03125;10.44232;606;0
607;61.03124;10.44233;607;0
608;61.03124;10.44233;608;0
609;61.03084;10.44262;609;0
610;61.03009;10.44306;610;0
611;61.02935;10.44347;611;0
612;61.02935;10.44348;612;0
613;61.02902;10.44372;613;0
614;61.02884;10.44387;614;0
615;61.02852;10.44419;615;0
616;61.02826;10.44446;616;0
617;61.02802;10.4447;617;0
618;61.0279;10.44486;618;0
619;61.0275;10.44532;619;0
620;61.02739;10.44544;620;0
621;61.02739;10.44544;621;0
622;61.02706;10.44585;622;0
623;61.02683;10.4462;623;0
624;61.02655;10.44667;624;0
625;61.0262;10.4472;625;0
626;61.02597;10.44753;626;0
627;61.02524;10.44844;627;0
628;61.02503;10.44871;628;0
629;61.02495;10.44881;629;0
630;61.02481;10.44908;630;0
631;61.02481;10.44908;631;0
632;61.02454;10.44963;632;0
633;61.02441;10.4499;633;0
634;61.02415;10.45054;634;0
635;61.02376;10.45143;635;0
636;61.02338;10.45213;636;0
637;61.02328;10.45225;637;0
638;61.02305;10.45248;638;0
639;61.02278;10.45268;639;0
640;61.02266;10.45274;640;0
641;61.02241;10.4529;641;0
642;61.02209;10.45307;642;0
643;61.02186;10.45317;643;0
644;61.02161;10.45327;644;0
645;61.02154;10.45329;645;0
646;61.02154;10.45329;646;0
647;61.02058;10.4536;647;0
648;61.0202;10.45384;648;0
649;61.01983;10.45417;649;0
650;61.01983;10.45417;650;0
651;61.01964;10.45436;651;0
652;61.01939;10.45467;652;0
653;61.01907;10.45512;653;0
654;61.01874;10.4556;654;0
655;61.01835;10.45627;655;0
656;61.01777;10.45721;656;0
